8187, 1, 1, 1, 1, 1, 1, 1, 33, 10, 11, 12, 1, 1, 1, 1, 1, 1, 1, 2, 166, 14, 10, 2, 2, 1, 1, 3, 4, 3, 10, 29, 44, 13, 1, 1, 10, 1, 1, 5, 1, 21, 3, 5, 3, 2, 1, 1, 6, 1, 2, 4, 4, 4, 4, 5, 3, 4, 4, 13, 14, 7, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 6, 3, 3, 4, 4, 5, 5, 19, 632, 47, 1, 1, 1, 1, 1, 1, 1, 8, 3, 2, 11, 2, 1
1, 1, 2, 1, 1, 1, 15, 32, 9, 10, 11, 6, 1, 1, 1, 1, 1, 1, 1, 165, 13, 4, 3, 2, 1, 1, 2, 3, 2, 9, 28, 27, 14, 2, 12, 1, 7, 1, 1, 3, 3, 1, 16, 2, 4, 2, 1, 1, 4, 1, 3, 3, 3, 3, 4, 2, 3, 3, 4, 4, 4, 13, 6, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 5, 2, 2, 3, 3, 4, 4, 5, 6, 7, 631, 46, 41, 36, 25, 18, 11, 5, 4, 3, 2, 1, 10, 1
1, 1, 1, 3, 2, 13, 16, 8, 9, 10, 5, 90, 98, 101, 106, 109, 115, 120, 164, 2, 7, 3, 3, 2, 1, 1, 2, 1, 8, 27, 2, 22, 2, 13, 1, 11, 4, 2, 2, 1, 1, 8, 5, 2, 1, 3, 1, 1, 2, 2, 2, 2, 2, 3, 1, 2, 2, 3, 3, 3, 3, 4, 5, 5, 1, 1, 1, 6, 1, 4, 1, 29, 24, 2, 15, 4, 1, 1, 2, 2, 3, 3, 4, 5, 6, 6, 620, 4, 4, 4, 10, 6, 6, 5, 4, 3, 2, 1, 1, 8
1, 1, 2, 2, 9, 15, 7, 8, 9, 4, 89, 1, 1, 3, 1, 4, 3, 26, 2, 14, 1, 6, 2, 2, 1, 1, 3, 7, 26, 1, 1, 2, 18, 1, 12, 1, 9, 3, 1, 1, 2, 2, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 4, 2, 2, 1, 1, 1, 1, 8, 7, 37, 4, 3, 20, 2, 14, 3, 1, 1, 2, 2, 3, 4, 5, 5, 6, 610, 3, 3, 3, 3, 9, 5, 5, 4, 3, 2, 1, 1, 6
1, 1, 2, 3, 14, 6, 7, 8, 3, 78, 6, 4, 1, 1, 3, 2, 2, 21, 2, 1, 13, 3, 2, 1, 1, 2, 3, 4, 19, 2, 1, 1, 15, 1, 10, 1, 1, 7, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2, 2, 1, 1, 72, 3, 3, 3, 2, 2, 1, 13, 2, 1, 1, 2, 3, 4, 4, 5, 13, 586, 10, 2, 2, 2, 2, 8, 4, 4, 3, 2, 1, 1, 4
1, 1, 2, 13, 5, 6, 7, 2, 70, 4, 3, 5, 3, 2, 1, 1, 12, 5, 3, 1, 1, 11, 2, 1, 1, 2, 3, 4, 13, 1, 1, 8, 5, 1, 1, 8, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 2, 2, 3, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 5, 1, 75, 5, 16, 2, 2, 2, 1, 1, 1, 11, 1, 1, 2, 3, 3, 4, 12, 1, 3, 581, 9, 1, 1, 1, 1, 7, 3, 3, 2, 1, 1, 2
1, 2, 8, 4, 5, 6, 1, 61, 4, 4, 3, 2, 4, 2, 1, 1, 9, 1, 4, 2, 5, 1, 4, 1, 1, 2, 3, 9, 2, 1, 7, 2, 1, 1, 2, 4, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 7, 1, 1, 2, 3, 6, 1, 2, 7, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 6, 87, 3, 4, 15, 1, 1, 1, 1, 1, 1, 8, 1, 2, 2, 3, 5, 6, 2, 51, 501, 28, 8, 1, 1, 1, 3, 3, 2, 2, 1, 1, 3
1, 4, 3, 4, 5, 6, 53, 4, 3, 3, 3, 2, 1, 3, 1, 1, 4, 3, 2, 1, 1, 4, 2, 1, 1, 2, 2, 4, 2, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 11, 1, 1, 2, 3, 4, 7, 11, 1, 5, 2, 2, 1, 1, 2, 2, 2, 3, 3, 9, 7, 88, 1, 2, 2, 3, 14, 1, 2, 1, 1, 1, 6, 1, 1, 2, 4, 5, 1, 1, 46, 3, 500, 27, 6, 2, 1, 1, 2, 2, 1, 1, 2, 1
1, 2, 3, 4, 5, 39, 4, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1, 2, 3, 3, 4, 4, 4, 12, 2, 117, 6, 1, 5, 172, 1, 189, 3, 2, 1, 1, 2, 3, 3, 3, 4, 20, 89, 51, 3, 1, 1, 1, 2, 12, 8, 5, 3, 2, 2, 1, 1, 3, 4, 3, 1, 16, 27, 2, 2, 499, 26, 2, 3, 1, 1, 1, 1, 1, 1, 2
1, 2, 3, 4, 32, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 7, 1, 1, 2, 3, 4, 4, 85, 92, 99, 113, 2, 126, 141, 148, 4, 179, 1, 200, 2, 1, 1, 2, 3, 4, 4, 4, 114, 55, 3, 46, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 3, 2, 6, 14, 6, 18, 2, 1, 1, 498, 25, 1, 2, 1, 1, 1, 1, 1, 1
1, 2, 3, 25, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 4, 2, 1, 1, 1, 4, 2, 1, 1, 2, 2, 2, 4, 2, 2, 1, 1, 1, 4, 3, 3, 3, 11, 1, 1, 2, 49, 56, 76, 2, 2, 1, 1, 6, 8, 5, 3, 1, 1, 4, 4, 208, 212, 2, 2, 3, 4, 5, 123, 57, 1, 3, 2, 45, 42, 38, 1, 1, 17, 12, 1, 1, 1, 1, 2, 1, 5, 4, 5, 14, 1, 2, 1, 33, 456, 8, 20, 12, 2, 2, 1, 1, 4, 2
1, 2, 17, 4, 3, 2, 2, 1, 1, 1, 1, 1, 2, 2, 4, 1, 3, 8, 2, 1, 1, 8, 2, 1, 1, 2, 3, 3, 9, 3, 2, 2, 1, 1, 1, 6, 11, 4, 4, 12, 2, 44, 3, 11, 2, 2, 1, 1, 5, 7, 2, 1, 1, 2, 3, 3, 3, 1, 1, 213, 3, 3, 4, 5, 186, 1, 47, 41, 2, 1, 1, 2, 35, 30, 7, 4, 9, 4, 1, 1, 2, 4, 3, 4, 3, 2, 8, 1, 32, 4, 447, 4, 7, 5, 8, 4, 1, 1, 2, 5
1, 11, 3, 2, 3, 2, 1, 1, 1, 1, 1, 2, 2, 3, 3, 9, 1, 11, 2, 1, 1, 12, 2, 1, 1, 2, 3, 16, 4, 3, 3, 2, 1, 1, 1, 1, 1, 14, 20, 26, 40, 2, 6, 2, 2, 1, 1, 4, 1, 1, 4, 1, 1, 2, 2, 2, 2, 4, 7, 10, 225, 230, 4, 5, 193, 48, 1, 2, 40, 1, 1, 1, 1, 3, 5, 6, 3, 3, 2, 1, 1, 2, 3, 2, 1, 1, 6, 31, 3, 3, 438, 5, 3, 6, 4, 1, 1, 1, 2, 29
4, 3, 3, 2, 1, 2, 1, 1, 1, 2, 2, 2, 5, 1, 4, 14, 12, 3, 2, 1, 1, 16, 2, 1, 1, 2, 6, 1, 24, 4, 3, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 232, 203, 51, 2, 1, 1, 1, 39, 2, 1, 1, 1, 2, 4, 5, 2, 2, 1, 1, 2, 1, 2, 3, 5, 30, 2, 2, 430, 4, 3, 4, 2, 5, 3, 1, 1, 2, 22
3, 3, 2, 2, 1, 1, 1, 1, 2, 2, 3, 3, 3, 6, 2, 5, 30, 3, 1, 1, 19, 3, 1, 1, 2, 2, 10, 25, 5, 10, 5, 1, 1, 2, 2, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 487, 1, 2, 2, 1, 3, 1, 34, 22, 16, 1, 1, 1, 3, 4, 1, 1, 1, 1, 1, 1, 1, 29, 1, 1, 202, 225, 2, 3, 2, 3, 1, 4, 1, 1, 2, 19
3, 2, 2, 1, 1, 1, 1, 2, 6, 9, 3, 4, 4, 4, 7, 38, 4, 2, 2, 1, 1, 24, 1, 1, 2, 3, 38, 22, 14, 2, 1, 1, 2, 2, 5, 3, 4, 6, 2, 2, 1, 1, 1, 1, 2, 3, 1, 4, 1, 1, 2, 2, 2, 4, 1, 1, 2, 1, 2, 2, 2, 2, 2, 490, 3, 26, 12, 9, 4, 2, 1, 9, 4, 13, 1, 1, 1, 2, 3, 1, 1, 1, 2, 1, 2, 20, 6, 201, 221, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 17
2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 10, 14, 5, 5, 50, 1, 7, 3, 2, 1, 26, 1, 1, 2, 2, 44, 26, 2, 2, 1, 1, 1, 1, 5, 1, 6, 4, 5, 7, 6, 2, 1, 1, 2, 2, 3, 9, 2, 1, 1, 2, 3, 3, 3, 6, 1, 2, 3, 2, 3, 3, 5, 1, 537, 40, 5, 11, 1, 1, 3, 1, 5, 3, 3, 10, 6, 3, 1, 1, 1, 2, 2, 2, 3, 19, 5, 6, 193, 1, 220, 1, 1, 1, 1, 1, 1, 1, 1, 1, 15
1, 1, 1, 1, 1, 2, 3, 2, 1, 2, 2, 1, 15, 6, 6, 51, 12, 3, 2, 27, 1, 1, 2, 2, 49, 28, 1, 1, 1, 1, 1, 1, 1, 1, 6, 12, 7, 5, 6, 8, 10, 1, 1, 2, 3, 3, 4, 13, 2, 1, 1, 3, 4, 4, 4, 8, 1, 3, 4, 3, 4, 4, 546, 1, 1, 8, 4, 10, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 3, 9, 14, 4, 5, 183, 8, 1, 217, 2, 2, 1, 2, 1, 1, 1, 2, 5, 9
1, 1, 1, 1, 2, 2, 3, 4, 4, 1, 3, 6, 8, 24, 7, 70, 1, 6, 1, 29, 1, 1, 2, 3, 80, 1, 1, 1, 1, 2, 2, 1, 1, 1, 4, 3, 19, 8, 6, 7, 9, 11, 3, 1, 112, 117, 4, 20, 2, 2, 1, 1, 5, 11, 17, 13, 1, 2, 4, 5, 4, 555, 1, 1, 1, 3, 3, 3, 8, 4, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 3, 4, 182, 3, 2, 2, 145, 71, 2, 3, 2, 2, 1, 1, 1, 2, 6
1, 1, 2, 8, 2, 17, 3, 4, 5, 6, 1, 1, 1, 1, 118, 183, 262, 2, 37, 2, 1, 4, 4, 81, 2, 2, 2, 1, 4, 3, 2, 3, 1, 1, 2, 3, 3, 26, 38, 52, 61, 76, 103, 108, 1, 5, 129, 27, 3, 2, 1, 1, 1, 1, 1, 19, 14, 2, 3, 5, 565, 2, 1, 1, 7, 4, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 2, 3, 173, 4, 4, 2, 1, 1, 144, 66, 19, 15, 11, 7, 3, 1, 1, 4
1, 1, 4, 2, 12, 2, 21, 4, 5, 6, 7, 2, 83, 92, 57, 8, 8, 273, 276, 314, 318, 10, 82, 3, 3, 3, 2, 5, 4, 3, 5, 1, 1, 1, 2, 2, 3, 3, 7, 1, 5, 15, 1, 1, 4, 6, 4, 137, 33, 2, 2, 1, 1, 1, 1, 1, 20, 15, 3, 4, 573, 20, 16, 12, 2, 2, 3, 1, 1, 1, 1, 1, 3, 2, 1, 3, 5, 3, 2, 2, 1, 1, 2, 3, 166, 3, 3, 3, 1, 143, 1, 41, 1, 1, 1, 2, 2, 2, 1, 2
1, 1, 1, 1, 1, 1, 2, 25, 5, 6, 70, 79, 7, 56, 7, 7, 2, 2, 1, 1, 1, 320, 416, 4, 4, 3, 6, 5, 4, 6, 1, 2, 1, 1, 1, 2, 2, 3, 3, 4, 4, 9, 1, 2, 5, 3, 3, 3, 143, 38, 2, 1, 1, 2, 2, 2, 2, 21, 16, 4, 1002, 400, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 7, 2, 4, 6, 4, 10, 6, 3, 1, 1, 2, 2, 160, 3, 2, 2, 2, 142, 13, 19, 8, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1, 28, 57, 1, 6, 55, 6, 6, 1, 1, 67, 3, 2, 1, 1, 1, 524, 4, 7, 6, 5, 7, 2, 3, 2, 1, 1, 1, 1, 2, 2, 3, 3, 7, 1, 1, 4, 2, 2, 2, 2, 2, 144, 42, 2, 1, 1, 3, 3, 3, 3, 22, 1023, 3, 4, 399, 1, 1, 1, 1, 1, 2, 1, 1, 2, 11, 5, 7, 5, 11, 1, 1, 1, 1, 1, 1, 2, 3, 154, 2, 1, 1, 1, 141, 12, 18, 6, 2, 1, 1, 1, 1, 1
