2671.679932, 2701.709961, 2641.600098, 2684.379883, 2719.179932, 2772.879883, 2910.810059, 2913.790039, 2908.699951, 3026.510010, 2995.780029, 2920.120117, 3005.409912, 2946.399902, 2830.610107, 2703.090088, 2618.300049, 2496.100098, 2370.780029, 2272.790039, 2167.090088, 2079.090088, 2086.290039, 2067.909912, 2067.489990, 2131.280029, 2314.189941, 2321.209961, 2334.600098, 2371.699951, 2476.199951, 2669.020020, 2843.590088, 2974.000000, 2888.800049, 2788.010010, 2687.500000
2698.510010, 2721.610107, 2742.110107, 2772.510010, 2805.620117, 2808.010010, 2907.790039, 2998.989990, 2979.500000, 2897.100098, 2833.090088, 2835.290039, 2918.790039, 2942.590088, 2698.600098, 2583.409912, 2472.300049, 2378.120117, 2308.000000, 2347.800049, 2258.889893, 2157.600098, 2153.379883, 2129.489990, 2255.909912, 2215.879883, 2417.179932, 2438.919922, 2449.280029, 2453.090088, 2509.899902, 2718.500000, 2960.889893, 2969.510010, 2842.399902, 2773.110107, 2709.780029
2718.590088, 2712.310059, 2828.320068, 2893.199951, 2887.979980, 2877.610107, 2921.820068, 2989.820068, 2879.590088, 2827.489990, 2795.209961, 2827.489990, 2861.379883, 2856.379883, 2642.199951, 2501.010010, 2410.209961, 2332.310059, 2376.100098, 2448.919922, 2360.919922, 2294.520020, 2205.290039, 2173.010010, 2326.989990, 2340.010010, 2475.010010, 2697.080078, 2672.409912, 2647.879883, 2603.310059, 2813.780029, 2881.699951, 3039.110107, 2930.389893, 2854.590088, 2784.120117
2743.120117, 2819.699951, 2928.280029, 2945.199951, 2953.600098, 2949.790039, 3006.100098, 2850.790039, 2830.979980, 2803.189941, 2783.379883, 2771.000000, 2768.889893, 2772.790039, 2591.110107, 2441.489990, 2392.510010, 2401.320068, 2495.320068, 2517.790039, 2432.320068, 2363.989990, 2363.989990, 2363.899902, 2381.919922, 2476.699951, 2709.780029, 2824.510010, 2902.790039, 2804.979980, 2724.689941, 2816.120117, 2953.320068, 3137.110107, 3084.790039, 3003.719971, 2914.889893
2831.389893, 2907.100098, 2967.899902, 2986.889893, 3005.179932, 3068.419922, 2914.989990, 2858.399902, 2824.419922, 2806.590088, 2792.189941, 2791.179932, 2736.699951, 2705.020020, 2522.790039, 2447.399902, 2504.219971, 2538.010010, 2665.580078, 2663.520020, 2445.290039, 2363.989990, 2363.989990, 2363.989990, 2363.989990, 2643.800049, 2838.090088, 2959.280029, 3014.080078, 2919.199951, 2825.979980, 2857.120117, 2942.409912, 3141.100098, 3179.389893, 3091.300049, 3041.409912
2846.979980, 2884.810059, 2954.419922, 3039.209961, 3089.689941, 2983.719971, 2933.600098, 2882.610107, 2835.010010, 2809.110107, 2750.600098, 2706.899902, 2661.320068, 2572.219971, 2552.500000, 2558.689941, 2627.379883, 2751.189941, 2673.510010, 2551.909912, 2363.989990, 2363.989990, 2363.989990, 2363.989990, 2523.020020, 2734.179932, 2878.810059, 2986.979980, 3088.679932, 3054.709961, 3007.520020, 2982.209961, 3043.699951, 3189.979980, 3171.179932, 3153.709961, 3116.610107
2885.000000, 2908.699951, 2966.620117, 3087.080078, 3120.419922, 2988.580078, 2968.909912, 2941.989990, 2882.520020, 2797.000000, 2737.300049, 2641.189941, 2630.090088, 2649.489990, 2615.000000, 2686.810059, 2887.610107, 2855.419922, 2608.719971, 2430.209961, 2363.989990, 2363.989990, 2363.989990, 2367.389893, 2589.090088, 2727.209961, 2841.020020, 2922.780029, 3054.520020, 3195.209961, 3261.790039, 3161.090088, 3206.489990, 3301.679932, 3227.810059, 3233.310059, 3198.000000
2927.000000, 2935.620117, 3005.780029, 3133.810059, 3019.120117, 3021.419922, 3009.909912, 2984.000000, 2912.280029, 2858.080078, 2767.879883, 2711.110107, 2672.090088, 2676.820068, 2695.300049, 2807.179932, 2880.919922, 2784.479980, 2630.909912, 2483.810059, 2363.989990, 2363.989990, 2363.989990, 2455.520020, 2566.300049, 2705.889893, 2835.110107, 2906.090088, 3029.580078, 3174.709961, 3334.419922, 3353.090088, 3383.489990, 3357.719971, 3309.889893, 3288.110107, 3216.709961
2956.709961, 2959.879883, 3016.600098, 3069.290039, 3056.310059, 3057.090088, 3026.689941, 3016.280029, 3067.820068, 3004.399902, 2848.500000, 2797.919922, 2750.500000, 2714.780029, 2819.520020, 2837.489990, 2801.219971, 2669.479980, 2542.919922, 2365.090088, 2363.989990, 2363.989990, 2363.989990, 2524.989990, 2617.620117, 2740.689941, 2802.500000, 2891.689941, 3012.199951, 3172.510010, 3341.709961, 3482.899902, 3430.989990, 3367.620117, 3328.090088, 3283.610107, 3261.699951
2977.120117, 2992.989990, 3065.800049, 3087.489990, 3096.709961, 3075.620117, 3060.800049, 3058.879883, 3151.689941, 2962.310059, 2861.379883, 2785.489990, 2780.310059, 2862.800049, 2769.989990, 2722.899902, 2683.280029, 2565.889893, 2429.610107, 2363.989990, 2363.989990, 2363.989990, 2427.679932, 2556.580078, 2662.919922, 2708.090088, 2824.510010, 2922.179932, 3038.790039, 3120.780029, 3231.479980, 3398.620117, 3435.209961, 3358.080078, 3315.120117, 3297.919922, 3290.909912
